Rank,Release Group,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent,year
137,Almost Christmas,"4,25,80,920","4,21,58,780",99%,"4,22,140",1%,2016
138,The Witch,"4,04,23,945","2,51,38,705",62.20%,"1,52,85,240",37.80%,2016
139,The Wild Life,"4,00,75,446","80,05,586",20%,"3,20,69,860",80%,2016
140,Love O2O,"3,99,69,537",0,0,"3,99,69,537",100%,2016
141,The Forest,"3,97,12,000","2,65,94,261",67%,"1,31,17,739",33%,2016
142,Absolutely Fabulous: The Movie,"3,92,19,109","47,72,155",12.20%,"3,44,46,954",87.80%,2016
143,My Mom Is a Character 2,"3,91,95,565",0,0,"3,91,95,565",100%,2016
144,Masterpiece Mystery: Sherlock: The Abominable Bride,"3,91,39,204",0,0,"3,91,39,204",100%,2016
145,"Crouching Tiger, Hidden Dragon: Sword of Destiny","3,86,59,039",0,0,"3,86,59,039",100%,2016
146,Hell or High Water,"3,78,79,877","2,70,07,844",71.30%,"1,08,72,033",28.70%,2016
147,Mission Milano,"3,77,49,848",0,0,"3,77,49,848",100%,2016
148,The Handmaiden,"3,76,92,886","20,06,788",5.30%,"3,56,86,098",94.70%,2016
149,Snowden,"3,73,57,216","2,15,87,519",57.80%,"1,57,69,697",42.20%,2016
150,Nobunaga Concerto: The Movie,"3,61,87,594",0,0,"3,61,87,594",100%,2016
151,Eye in the Sky,"3,52,59,653","1,87,04,595",53%,"1,65,55,058",47%,2016
152,The Tuche Family: The American Dream,"3,52,10,425",0,0,"3,52,10,425",100%,2016
153,Os Dez Mandamentos 0 O Filme,"3,19,98,251",0,0,"3,19,98,251",100%,2016
154,Bounty Hunters,"3,19,18,573",0,0,"3,19,18,573",100%,2016
155,Ae Dil Hai Mushkil,"3,16,68,920","42,64,983",13.50%,"2,74,03,937",86.50%,2016
156,Assassination Classroom: The Graduation,"3,13,52,921",0,0,"3,13,52,921",100%,2016
157,Perfect Strangers,"3,12,54,929",0,0,"3,12,54,929",100%,2016
158,Billy Lynn's Long Halftime Walk,"3,09,30,984","17,38,477",5.60%,"2,91,92,507",94.40%,2016
159,Pandora,"3,08,96,701",0,0,"3,08,96,701",100%,2016
160,Norm of the North,"3,07,34,502","1,70,62,499",55.50%,"1,36,72,003",44.50%,2016
161,When the Bough Breaks,"3,06,58,387","2,97,47,603",97%,"9,10,784",3%,2016
162,S Storm,"3,03,81,402",0,0,"3,03,81,402",100%,2016
163,Nocturnal Animals,"3,03,11,857","1,06,63,357",35.20%,"1,96,48,500",64.80%,2016
164,A Silent Voice: The Movie,"3,00,21,659","3,10,407",1%,"2,97,11,252",99%,2016
165,Keeping Up with the Joneses,"2,99,18,745","1,49,04,426",49.80%,"1,50,14,319",50.20%,2016
166,Jackie,"2,97,77,777","1,39,60,394",46.90%,"1,58,17,383",53.10%,2016
167,Masterminds,"2,96,74,699","1,73,68,022",58.50%,"1,23,06,677",41.50%,2016
168,Flight Crew,"2,91,71,110",0,0,"2,91,71,110",100%,2016
169,Viking,"2,91,61,298",0,0,"2,91,61,298",100%,2016
170,M.S. Dhoni: The Untold Story,"2,89,03,047","18,01,550",6.20%,"2,71,01,497",93.80%,2016
171,Fan,"2,82,40,000","23,00,000",8.10%,"2,59,40,000",91.90%,2016
172,"Yôkai Watch: the Movie: The Flying Whale and the Grand Adventure of the Double Worlds, Meow!","2,81,10,245",0,0,"2,81,10,245",100%,2016
173,Welcome to Germany,"2,80,36,021",0,0,"2,80,36,021",100%,2016
174,The Brothers Grimsby,"2,79,79,040","68,74,837",24.60%,"2,11,04,203",75.40%,2016
175,When Larry Meets Mary,"2,78,63,090",0,0,"2,78,63,090",100%,2016
176,Yesterday Once More,"2,74,13,790",0,0,"2,74,13,790",100%,2016
177,The Light Between Oceans,"2,59,75,621","1,25,45,979",48.30%,"1,34,29,642",51.70%,2016
178,A Beautiful Planet,"2,57,30,120","1,56,50,615",60.80%,"1,00,79,505",39.20%,2016
179,Mr. Donkey,"2,55,37,759","3,56,255",1.40%,"2,51,81,504",98.60%,2016
180,Born in China,"2,50,81,168","1,38,73,211",55.30%,"1,12,07,957",44.70%,2016
181,Race,"2,50,70,261","1,92,06,207",76.60%,"58,64,054",23.40%,2016
182,Call of Heroes,"2,50,40,561",0,0,"2,50,40,561",100%,2016
183,Free State of Jones,"2,50,35,950","2,08,10,036",83.10%,"42,25,914",16.90%,2016
184,Whiskey Tango Foxtrot,"2,49,72,139","2,30,83,334",92.40%,"18,88,805",7.60%,2016
185,Soulmate,"2,46,84,439",0,0,"2,46,84,439",100%,2016
186,The Snow Queen 3: Fire and Ice,"2,46,44,317",0,0,"2,46,44,317",100%,2016
187,God's Not Dead 2,"2,44,87,848","2,07,74,575",84.80%,"37,13,273",15.20%,2016
188,Camping 3,"2,42,24,579",0,0,"2,42,24,579",100%,2016
189,The Founder,"2,41,21,245","1,27,86,053",53%,"1,13,35,192",47%,2016
190,Bad Santa 2,"2,40,79,268","1,77,82,178",73.80%,"62,97,090",26.20%,2016
191,Spirits' Homecoming,"2,38,57,217","1,25,616",0.50%,"2,37,31,601",99.50%,2016
192,Silence,"2,38,34,809","71,00,177",29.80%,"1,67,34,632",70.20%,2016
193,Kevin Hart: What Now?,"2,35,91,043","2,35,91,043",100%,0,0,2016
194,No Manches Frida,"2,35,40,937","1,15,28,613",49%,"1,20,12,324",51%,2016
195,Middle School: The Worst Years of My Life,"2,33,16,139","2,00,07,149",85.80%,"33,08,990",14.20%,2016
196,Triple 9,"2,31,77,948","1,26,39,297",54.50%,"1,05,38,651",45.50%,2016
197,Rock Dog,"2,31,39,802","94,20,546",40.70%,"1,37,19,256",59.30%,2016
198,The Choice,"2,30,64,015","1,87,30,891",81.20%,"43,33,124",18.80%,2016
199,Penny Pincher!,"2,29,55,486",0,0,"2,29,55,486",100%,2016
0,Star Wars: Episode VIII 0 The Last Jedi,"1,33,25,39,889","62,01,81,382",46.50%,"71,23,58,507",53.50%,2017
1,Beauty and the Beast,"1,26,35,21,126","50,40,14,165",39.90%,"75,95,06,961",60.10%,2017
2,The Fate of the Furious,"1,23,60,05,118","22,60,08,385",18.30%,"1,00,99,96,733",81.70%,2017
3,Despicable Me 3,"1,03,47,99,409","26,46,24,300",25.60%,"77,01,75,109",74.40%,2017
4,Jumanji: Welcome to the Jungle,"96,20,77,546","40,45,15,480",42%,"55,75,62,066",58%,2017
5,Spider0Man: Homecoming,"88,01,66,924","33,42,01,140",38%,"54,59,65,784",62%,2017
6,Wolf Warrior 2,"87,03,25,439","27,21,100",0.30%,"86,76,04,339",99.70%,2017
7,Guardians of the Galaxy Vol. 2,"86,37,56,051","38,98,13,101",45.10%,"47,39,42,950",54.90%,2017
8,Thor: Ragnarok,"85,39,77,126","31,50,58,289",36.90%,"53,89,18,837",63.10%,2017
9,Wonder Woman,"82,29,63,408","41,25,63,408",50.10%,"41,04,00,000",49.90%,2017
10,Coco,"81,46,41,172","21,04,60,015",25.80%,"60,41,81,157",74.20%,2017
11,Pirates of the Caribbean: Dead Men Tell No Tales,"79,48,61,794","17,25,58,876",21.70%,"62,23,02,918",78.30%,2017
12,It,"70,27,81,748","32,74,81,748",46.60%,"37,53,00,000",53.40%,2017
13,Justice League,"66,13,24,295","22,90,24,295",34.60%,"43,23,00,000",65.40%,2017
14,Logan,"61,90,21,436","22,62,77,068",36.60%,"39,27,44,368",63.40%,2017
15,Transformers: The Last Knight,"60,54,25,157","13,01,68,683",21.50%,"47,52,56,474",78.50%,2017
16,Kong: Skull Island,"56,86,52,812","16,80,52,812",29.60%,"40,06,00,000",70.40%,2017
17,The Boss Baby,"52,79,65,936","17,50,03,033",33.10%,"35,29,62,903",66.90%,2017
18,Dunkirk,"52,60,45,546","18,80,45,546",35.70%,"33,80,00,000",64.30%,2017
19,War for the Planet of the Apes,"49,07,19,763","14,68,80,162",29.90%,"34,38,39,601",70.10%,2017
20,The Greatest Showman,"43,49,93,183","17,43,40,174",40.10%,"26,06,53,009",59.90%,2017
21,Kingsman: The Golden Circle,"41,09,02,662","10,02,34,838",24.40%,"31,06,67,824",75.60%,2017
22,The Mummy,"40,92,31,607","8,02,27,895",19.60%,"32,90,03,712",80.40%,2017
23,Cars 3,"38,39,30,656","15,29,01,115",39.80%,"23,10,29,541",60.20%,2017
24,Fifty Shades Darker,"38,15,45,846","11,45,81,250",30%,"26,69,64,596",70%,2017
25,Murder on the Orient Express,"35,27,89,811","10,28,26,543",29.10%,"24,99,63,268",70.90%,2017
26,xXx: Return of Xander Cage,"34,61,18,277","4,48,98,413",13%,"30,12,19,864",87%,2017
27,Never Say Die,"33,45,30,869",0,0,"33,45,30,869",100%,2017
28,The Lego Batman Movie,"31,21,50,384","17,57,50,384",56.30%,"13,64,00,000",43.70%,2017
29,The Ex0File 3: Return of the Exes,"30,75,92,427","8,38,959",0.30%,"30,67,53,468",99.70%,2017
30,Annabelle: Creation,"30,65,92,201","10,20,92,201",33.30%,"20,45,00,000",66.70%,2017
31,Wonder,"30,59,37,718","13,24,22,809",43.30%,"17,35,14,909",56.70%,2017
32,Ferdinand,"29,60,69,199","8,44,10,380",28.50%,"21,16,58,819",71.50%,2017
33,Split,"27,84,54,358","13,82,91,365",49.70%,"14,01,62,993",50.30%,2017
34,Blade Runner 2049,"25,91,54,159","9,20,54,159",35.50%,"16,71,00,000",64.50%,2017
35,Kung Fu Yoga,"25,77,43,016","3,62,657",0.10%,"25,73,80,359",99.90%,2017
36,Get Out,"25,54,07,969","17,60,40,665",68.90%,"7,93,67,304",31.10%,2017
37,Baahubali 2: The Conclusion,"25,41,58,390","2,01,86,659",7.90%,"23,39,71,731",92.10%,2017
38,Journey to the West: The Demons Strike Back,"24,75,85,244","8,80,346",0.40%,"24,67,04,898",99.60%,2017
39,Alien: Covenant,"24,08,91,763","7,42,62,031",30.80%,"16,66,29,732",69.20%,2017
40,Paddington 2,"22,72,91,591","4,08,91,591",18%,"18,64,00,000",82%,2017
41,Youth,"22,70,91,290","18,91,956",0.80%,"22,51,99,334",99.20%,2017
42,Baby Driver,"22,69,45,087","10,78,25,862",47.50%,"11,91,19,225",52.50%,2017
43,Valerian and the City of a Thousand Planets,"22,58,74,228","4,11,89,488",18.20%,"18,46,84,740",81.80%,2017
44,Geostorm,"22,19,00,160","3,37,00,160",15.20%,"18,82,00,000",84.80%,2017
45,The Emoji Movie,"21,77,76,646","8,60,89,513",39.50%,"13,16,87,133",60.50%,2017
46,A Dog's Purpose,"20,50,35,819","6,45,08,620",31.50%,"14,05,27,199",68.50%,2017
47,Smurfs: The Lost Village,"19,71,83,546","4,50,20,282",22.80%,"15,21,63,264",77.20%,2017
48,The Shape of Water,"19,52,43,464","6,38,59,435",32.70%,"13,13,84,029",67.30%,2017
49,Pitch Perfect 3,"18,54,00,345","10,48,97,530",56.60%,"8,05,02,815",43.40%,2017
50,The Hitman's Bodyguard,"18,34,15,183","7,54,68,583",41.10%,"10,79,46,600",58.90%,2017
51,Daddy's Home 2,"18,06,13,180","10,40,29,443",57.60%,"7,65,83,737",42.40%,2017
52,The Post,"17,97,69,457","8,19,03,458",45.60%,"9,78,65,999",54.40%,2017
53,Baywatch,"17,78,56,751","5,80,60,186",32.60%,"11,97,96,565",67.40%,2017
54,John Wick: Chapter 2,"17,15,39,887","9,20,29,184",53.60%,"7,95,10,703",46.40%,2017
55,Ghost in the Shell,"16,98,01,921","4,05,63,557",23.90%,"12,92,38,364",76.10%,2017
56,"Three Billboards Outside Ebbing, Missouri","16,00,60,063","5,45,13,740",34.10%,"10,55,46,323",65.90%,2017
57,Duckweed,"15,28,94,264","4,71,575",0.30%,"15,24,22,689",99.70%,2017
58,Darkest Hour,"15,08,47,207","5,64,68,410",37.40%,"9,43,78,797",62.60%,2017
59,King Arthur: Legend of the Sword,"14,91,75,066","3,91,75,066",26.30%,"11,00,00,000",73.70%,2017
60,The Foreigner,"14,53,74,099","3,43,93,507",23.70%,"11,09,80,592",76.30%,2017
61,Power Rangers,"14,23,37,240","8,53,64,450",60%,"5,69,72,790",40%,2017
62,Girls Trip,"14,05,52,359","11,51,71,585",81.90%,"2,53,80,774",18.10%,2017
63,American Made,"13,48,66,593","5,13,42,000",38.10%,"8,35,24,593",61.90%,2017
64,A Bad Moms Christmas,"13,05,60,428","7,21,10,659",55.20%,"5,84,49,769",44.80%,2017
65,Happy Death Day,"12,54,79,266","5,56,83,845",44.40%,"6,97,95,421",55.60%,2017
66,Captain Underpants: The First Epic Movie,"12,54,27,681","7,39,21,000",58.90%,"5,15,06,681",41.10%,2017
67,The Lego Ninjago Movie,"12,36,81,555","5,92,81,555",47.90%,"6,44,00,000",52.10%,2017
68,Secret Superstar,"12,20,26,260",0,0,"12,20,26,260",100%,2017
69,The Commuter,"11,99,42,387","3,63,43,858",30.30%,"8,35,98,529",69.70%,2017
70,Forever Young,"11,90,55,731",0,0,"11,90,55,731",100%,2017
71,The Dark Tower,"11,32,31,078","5,07,01,325",44.80%,"6,25,29,753",55.20%,2017
72,Buddies in India,"11,01,55,128","2,93,194",0.30%,"10,98,61,934",99.70%,2017
73,Along With the Gods: The Two Worlds,"10,93,83,972","19,08,823",1.70%,"10,74,75,149",98.30%,2017
74,Immortal Demon Slayer,"10,38,18,506",0,0,"10,38,18,506",100%,2017
75,Jigsaw,"10,29,52,888","3,80,52,832",37%,"6,49,00,056",63%,2017
76,Life,"10,05,41,806","3,02,34,022",30.10%,"7,03,07,784",69.90%,2017
77,Atomic Blonde,"10,00,14,025","5,16,87,870",51.70%,"4,83,26,155",48.30%,2017
78,Legend of the Demon Cat,"9,70,51,623",0,0,"9,70,51,623",100%,2017
79,The Shack,"9,69,42,115","5,73,86,418",59.20%,"3,95,55,697",40.80%,2017
80,Chasing the Dragon,"8,79,65,942","4,56,854",0.50%,"8,75,09,088",99.50%,2017
81,Tiger Zinda Hai,"8,73,20,000","55,60,921",6.40%,"8,17,59,079",93.60%,2017
82,A Taxi Driver,"8,62,52,940","15,27,829",1.80%,"8,47,25,111",98.20%,2017
83,Going in Style,"8,52,18,541","4,50,18,541",52.80%,"4,02,00,000",47.20%,2017
84,Rings,"8,30,80,890","2,77,93,018",33.50%,"5,52,87,872",66.50%,2017
85,Once Upon A Time,"8,28,86,178","4,85,728",0.60%,"8,24,00,450",99.40%,2017
86,Paradox,"7,92,26,860",0,0,"7,92,26,860",100%,2017
87,Lady Bird,"7,89,65,611","4,89,58,273",62%,"3,00,07,338",38%,2017
88,Fantastica: A Boonie Bears Adventure,"7,71,51,096",0,0,"7,71,51,096",100%,2017
89,The Nut Job 2: Nutty by Nature,"6,87,43,485","2,83,70,522",41.30%,"4,03,72,963",58.70%,2017
90,American Assassin,"6,72,34,188","3,62,49,674",53.90%,"3,09,84,514",46.10%,2017
91,Victoria & Abdul,"6,65,58,465","2,22,45,070",33.40%,"4,43,13,395",66.60%,2017
92,Suck Me Shakespeer 3,"6,42,36,772",0,0,"6,42,36,772",100%,2017
93,Detective Conan: Crimson Love Letter,"6,31,44,805",0,0,"6,31,44,805",100%,2017
94,The Mountain Between Us,"6,28,32,209","3,03,48,555",48.30%,"3,24,83,654",51.70%,2017
95,The Star,"6,28,12,974","4,08,52,824",65%,"2,19,60,150",35%,2017
96,How to Be a Latin Lover,"6,25,47,032","3,21,49,404",51.40%,"3,03,97,628",48.60%,2017
97,47 Meters Down,"6,21,87,529","4,43,07,191",71.20%,"1,78,80,338",28.80%,2017
98,"Everything, Everything","6,17,21,140","3,41,21,140",55.30%,"2,76,00,000",44.70%,2017
99,Doraemon: Great Adventure in the Antarctic Kachi Kochi,"6,11,53,455",0,0,"6,11,53,455",100%,2017
100,Snatched,"6,08,45,711","4,58,52,178",75.40%,"1,49,93,533",24.60%,2017
101,The Founding of an Army,"6,06,00,361",0,0,"6,06,00,361",100%,2017
102,My Little Pony: The Movie,"6,03,30,833","2,18,85,107",36.30%,"3,84,45,726",63.70%,2017
103,Molly's Game,"5,92,84,015","2,87,80,744",48.50%,"3,05,03,271",51.50%,2017
104,Xian yi ren X de xian shen,"5,90,35,664","6,86,435",1.20%,"5,83,49,229",98.80%,2017
105,Shock Wave,"5,88,24,459",0,0,"5,88,24,459",100%,2017
106,Goldbuster,"5,76,28,292","1,86,135",0.30%,"5,74,42,157",99.70%,2017
107,All the Money in the World,"5,69,96,304","2,51,13,707",44.10%,"3,18,82,597",55.90%,2017
108,The Big Sick,"5,64,11,585","4,28,73,127",76%,"1,35,38,458",24%,2017
109,Confidential Assignment,"5,59,72,241","4,75,618",0.80%,"5,54,96,623",99.20%,2017
110,All Eyez on Me,"5,56,68,698","4,49,22,302",80.70%,"1,07,46,396",19.30%,2017
111,Downsizing,"5,50,03,890","2,44,49,754",44.50%,"3,05,54,136",55.50%,2017
112,"I, Tonya","5,39,39,297","3,00,14,539",55.60%,"2,39,24,758",44.40%,2017
113,1987: When the Day Comes,"5,38,34,292",0,0,"5,38,34,292",100%,2017
114,The Outlaws,"5,29,46,454",0,0,"5,29,46,454",100%,2017
115,Bleeding Steel,"4,88,25,526",0,0,"4,88,25,526",100%,2017
116,Logan Lucky,"4,84,53,605","2,77,80,977",57.30%,"2,06,72,628",42.70%,2017
117,Boo 2! A Madea Halloween,"4,83,33,932","4,73,19,572",97.90%,"10,14,360",2.10%,2017
118,Sky Hunter,"4,80,65,601",0,0,"4,80,65,601",100%,2017
119,Phantom Thread,"4,77,56,590","2,11,98,205",44.40%,"2,65,58,385",55.60%,2017
120,Rough Night,"4,73,47,283","2,21,05,643",46.70%,"2,52,41,640",53.30%,2017
121,Son of Bigfoot,"4,70,46,281","2,89,308",0.60%,"4,67,56,973",99.40%,2017
122,Three Seconds,"4,65,96,415",0,0,"4,65,96,415",100%,2017
123,The Thousand Faces of Dunjia,"4,62,63,237","1,24,187",0.30%,"4,61,39,050",99.70%,2017
124,The Battleship Island,"4,61,83,383","11,04,957",2.40%,"4,50,78,426",97.60%,2017
125,Hanson and the Beast,"4,61,54,323",0,0,"4,61,54,323",100%,2017
126,Gintama Live Action the Movie,"4,57,46,967",0,0,"4,57,46,967",100%,2017
127,Guilty of Mind,"4,56,98,503",0,0,"4,56,98,503",100%,2017
128,Flatliners,"4,51,58,254","1,68,83,115",37.40%,"2,82,75,139",62.60%,2017
129,Bad Genius,"4,45,60,421",0,0,"4,45,60,421",100%,2017
130,Mother!,"4,45,16,999","1,78,00,004",40%,"2,67,16,995",60%,2017
131,Wind River,"4,39,80,821","3,38,00,859",76.90%,"1,01,79,962",23.10%,2017
132,Battle of Memories,"4,38,92,362","5,94,552",1.40%,"4,32,97,810",98.60%,2017
133,The Snowman,"4,31,55,261","67,00,035",15.50%,"3,64,55,226",84.50%,2017
134,Gifted,"4,30,46,590","2,48,01,212",57.60%,"1,82,45,378",42.40%,2017
135,Loving Vincent,"4,21,87,665","67,35,118",16%,"3,54,52,547",84%,2017
136,Call Me by Your Name,"4,21,12,584","1,80,95,701",43%,"2,40,16,883",57%,2017
137,Mary and the Witch's Flower,"4,19,78,431","24,18,404",5.80%,"3,95,60,027",94.20%,2017
138,T2 Trainspotting,"4,16,81,746","24,02,004",5.80%,"3,92,79,742",94.20%,2017
139,Fist Fight,"4,11,87,017","3,21,87,017",78.10%,"90,00,000",21.90%,2017
140,The Circle,"4,06,56,399","2,04,97,844",50.40%,"2,01,58,555",49.60%,2017
141,Diary of a Wimpy Kid: The Long Haul,"4,01,40,972","2,07,38,724",51.70%,"1,94,02,248",48.30%,2017
142,Brotherhood of Blades 2,"3,99,66,092","14,204",0,"3,99,51,888",100%,2017
143,Midnight Runners,"3,97,30,433",0,0,"3,97,30,433",100%,2017
144,The King,"3,78,86,707",0,0,"3,78,86,707",100%,2017
145,Pokémon the Movie: I Choose You!,"3,75,52,144","24,01,722",6.40%,"3,51,50,422",93.60%,2017
146,Home Again,"3,72,70,721","2,70,20,284",72.50%,"1,02,50,437",27.50%,2017
147,The Adventurers,"3,67,96,816","2,16,556",0.60%,"3,65,80,260",99.40%,2017
148,"Tad, the Lost Explorer, and the Secret of King Midas","3,57,04,046","5,874",0,"3,56,98,172",100%,2017
149,Hostiles,"3,56,69,017","2,98,19,114",83.60%,"58,49,903",16.40%,2017
150,Namiya,"3,53,51,623","70,814",0.20%,"3,52,80,809",99.80%,2017
151,Destiny: The Tale of Kamakura,"3,51,66,640",0,0,"3,51,66,640",100%,2017
152,The Liquidator,"3,50,46,130",0,0,"3,50,46,130",100%,2017
153,Kidnap,"3,48,14,102","3,09,71,040",89%,"38,43,062",11%,2017
154,R.A.I.D. Special Unit,"3,45,98,750",0,0,"3,45,98,750",100%,2017
155,The House,"3,42,84,504","2,55,84,504",74.60%,"87,00,000",25.40%,2017
156,I Want to Eat Your Pancreas,"3,37,48,006","2,77,019",0.80%,"3,34,70,987",99.20%,2017
157,Perfect Strangers,"3,32,62,366","10,14,507",3.10%,"3,22,47,859",96.90%,2017
158,Sleepless,"3,29,17,353","2,07,83,704",63.10%,"1,21,33,649",36.90%,2017
159,Hindi Medium,"3,28,41,493",0,0,"3,28,41,493",100%,2017
160,Steel Rain,"3,27,83,733",0,0,"3,27,83,733",100%,2017
161,The House That Never Dies II,"3,24,33,588",0,0,"3,24,33,588",100%,2017
162,The Invisible Guest,"3,11,91,910",0,0,"3,11,91,910",100%,2017
163,This Is Not What I Expected,"3,09,96,615","3,37,670",1.10%,"3,06,58,945",98.90%,2017
164,The Last Warrior,"3,06,18,274",0,0,"3,06,18,274",100%,2017
165,Reset 2017 Re0release,"2,99,49,252","1,08,970",0.40%,"2,98,40,282",99.60%,2017
166,The Bye Bye Man,"2,98,74,280","2,23,95,806",75%,"74,78,474",25%,2017
167,The Disaster Artist,"2,98,20,616","2,11,20,616",70.80%,"87,00,000",29.20%,2017
168,The Swindlers,"2,97,21,916","2,41,916",0.80%,"2,94,80,000",99.20%,2017
169,Alibi.com,"2,93,70,592",0,0,"2,93,70,592",100%,2017
170,Sword Art Online the Movie: Ordinal Scale,"2,93,22,339","15,22,976",5.20%,"2,77,99,363",94.80%,2017
171,Recep Ivedik 5,"2,89,52,258",0,0,"2,89,52,258",100%,2017
172,Judwaa 2,"2,87,33,523","14,31,255",5%,"2,73,02,268",95%,2017
173,The Fortress,"2,86,45,448","2,52,895",0.90%,"2,83,92,553",99.10%,2017
174,What Happened to Monday,"2,79,75,429",0,0,"2,79,75,429",100%,2017
175,Monster Family,"2,78,90,108","1,27,259",0.50%,"2,77,62,849",99.50%,2017
176,The Beguiled,"2,78,69,129","1,07,09,995",38.40%,"1,71,59,134",61.60%,2017
177,CHIPS,"2,68,00,152","1,86,00,152",69.40%,"82,00,000",30.60%,2017
178,A Cure for Wellness,"2,66,20,002","81,06,986",30.50%,"1,85,13,016",69.50%,2017
179,Only the Brave,"2,63,51,322","1,83,43,983",69.60%,"80,07,339",30.40%,2017
180,Twenty Two,"2,62,89,378","46,796",0.20%,"2,62,42,582",99.80%,2017
181,The Zookeeper's Wife,"2,61,52,835","1,75,71,660",67.20%,"85,81,175",32.80%,2017
182,The Bride of Badrinath,"2,61,34,309","19,93,259",7.60%,"2,41,41,050",92.40%,2017
183,A Chinese Odyssey: Part 2 0 Cinderella 2017 Re0release,"2,59,60,664",0,0,"2,59,60,664",100%,2017
184,Love Off the Cuff,"2,59,59,989",0,0,"2,59,59,989",100%,2017
185,Father Figures,"2,57,01,244","1,75,01,244",68.10%,"82,00,000",31.90%,2017
186,Fireworks,"2,56,72,406","5,25,280",2%,"2,51,47,126",98%,2017
187,Money,"2,54,03,753",0,0,"2,54,03,753",100%,2017
188,Leap! 2017 Re0release,"2,53,76,094","2,18,58,070",86.10%,"35,18,024",13.90%,2017
189,The Death of Stalin,"2,46,46,055","80,47,856",32.70%,"1,65,98,199",67.30%,2017
190,The 80Year Engagement,"2,44,25,963",0,0,"2,44,25,963",100%,2017
191,Jolly LLB 2,"2,42,14,186","16,54,254",6.80%,"2,25,59,932",93.20%,2017
192,I Can Speak,"2,40,24,444","63,239",0.30%,"2,39,61,205",99.70%,2017
193,Wish Upon,"2,34,68,586","1,43,01,505",60.90%,"91,67,081",39.10%,2017
194,Detroit,"2,33,55,100","1,67,90,139",71.90%,"65,64,961",28.10%,2017
195,Extraordinary Mission,"2,27,57,764","54,174",0.20%,"2,27,03,590",99.80%,2017
196,The Glass Castle,"2,20,88,533","1,72,73,059",78.20%,"48,15,474",21.80%,2017
197,Épouse0moi mon pote,"2,15,71,464",0,0,"2,15,71,464",100%,2017
198,The Prison,"2,12,05,329","2,07,481",1%,"2,09,97,848",99%,2017
199,One Hundred Thousand Bad Jokes 2,"2,04,60,352",0,0,"2,04,60,352",100%,2017
0,Avengers: Infinity War,"2,04,83,59,754","67,88,15,482",33.10%,"1,36,95,44,272",66.90%,2018
1,Black Panther,"1,34,69,13,161","70,00,59,566",52%,"64,68,53,595",48%,2018
2,Jurassic World: Fallen Kingdom,"1,30,84,67,944","41,77,19,760",31.90%,"89,07,48,184",68.10%,2018
3,Incredibles 2,"1,24,28,05,359","60,85,81,744",49%,"63,42,23,615",51%,2018
4,Aquaman,"1,15,19,61,807","33,50,61,807",29.10%,"81,69,00,000",70.90%,2018
5,Bohemian Rhapsody,"90,36,55,259","21,64,28,042",24%,"68,72,27,217",76%,2018
6,Venom,"85,60,85,151","21,35,15,506",24.90%,"64,25,69,645",75.10%,2018
7,Mission: Impossible 0 Fallout,"79,11,15,104","22,01,59,104",27.80%,"57,09,56,000",72.20%,2018
8,Deadpool 2,"73,45,46,611","31,84,91,426",43.40%,"41,60,55,185",56.60%,2018
9,Fantastic Beasts: The Crimes of Grindelwald,"65,57,55,901","15,95,55,901",24.30%,"49,62,00,000",75.70%,2018
10,Ant0Man and the Wasp,"62,26,74,139","21,66,48,740",34.80%,"40,60,25,399",65.20%,2018
11,Ready Player One,"58,34,90,172","13,76,90,172",23.60%,"44,58,00,000",76.40%,2018
12,Operation Red Sea,"57,93,30,426","15,43,547",0.30%,"57,77,86,879",99.70%,2018
13,Detective Chinatown 2,"54,41,85,156","19,83,984",0.40%,"54,22,01,172",99.60%,2018
14,Ralph Breaks the Internet,"52,93,23,962","20,10,91,711",38%,"32,82,32,251",62%,2018
15,The Meg,"52,92,43,742","14,54,43,742",27.50%,"38,38,00,000",72.50%,2018
16,Hotel Transylvania 3: Summer Vacation,"52,85,83,774","16,75,10,016",31.70%,"36,10,73,758",68.30%,2018
17,The Grinch,"51,24,53,517","27,14,78,510",53%,"24,09,75,007",47%,2018
18,Bumblebee,"46,79,89,645","12,71,95,589",27.20%,"34,07,94,056",72.80%,2018
19,Dying to Survive,"45,11,76,639",0,0,"45,11,76,639",100%,2018
20,A Star Is Born,"43,63,88,866","21,52,88,866",49.30%,"22,11,00,000",50.70%,2018
21,Rampage,"42,81,28,233","10,10,28,233",23.60%,"32,71,00,000",76.40%,2018
22,Mamma Mia! Here We Go Again,"39,50,44,706","12,06,34,935",30.50%,"27,44,09,771",69.50%,2018
23,Solo: A Star Wars Story,"39,29,24,807","21,37,67,512",54.40%,"17,91,57,295",45.60%,2018
24,Spider0Man: Into the Spider0Verse,"37,55,82,637","19,02,41,310",50.70%,"18,53,41,327",49.30%,2018
25,Fifty Shades Freed,"37,19,85,018","10,04,07,760",27%,"27,15,77,258",73%,2018
26,Hello Mr. Billionaire,"36,69,61,907",0,0,"36,69,61,907",100%,2018
27,The Nun,"36,60,50,119","11,74,50,119",32.10%,"24,86,00,000",67.90%,2018
28,Monster Hunt 2,"36,16,82,618","7,06,153",0.20%,"36,09,76,465",99.80%,2018
29,Peter Rabbit,"35,12,66,433","11,52,53,424",32.80%,"23,60,13,009",67.20%,2018
30,Mary Poppins Returns,"34,95,37,494","17,19,58,438",49.20%,"17,75,79,056",50.80%,2018
